Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"1573222.0, 1577351.0, 1582464.0, 1593543.0, 1585439.0, 1602167.0, 1600012.0, 1609685.0, 1602055.0, 1649198.0",1597513.6,20621.845185142865,12,0,1,,,,splines,mountain
,,,"1553198.0, 1568823.0, 1554326.0, 1552022.0, 1551812.0, 1552736.0, 1552740.0, 1552258.0, 1552229.0, 1552121.0",1554226.5,4914.718267612092,16,0,1,,,,splines,mountain
,,,"2869860.0, 2866852.0, 2866611.0, 2868544.0, 2868503.0, 2870107.0, 2866711.0, 2867539.0, 2875304.0, 2868519.0",2868855.0,2446.973395850474,4,0,1,,,,splines,mountain
,,,"1814305.0, 1813545.0, 1817217.0, 1813655.0, 1811991.0, 1814175.0, 1813590.0, 1825702.0, 1817795.0, 1813016.0",1815499.1,3805.7462724149127,8,0,1,,,,splines,mountain
,,,"2253821.0, 2251442.0, 2251189.0, 2251664.0, 2252929.0, 2253788.0, 2253441.0, 2253962.0, 2253320.0, 2295440.0",2257099.6,12818.349076226626,12,0,2,,,,splines,mountain
,,,"2248322.0, 2279762.0, 2250610.0, 2249262.0, 2246241.0, 2251944.0, 2251195.0, 2249531.0, 2253021.0, 2249971.0",2252985.9,9105.150020180887,16,0,2,,,,splines,mountain
,,,"3879875.0, 3907401.0, 3858610.0, 3866950.0, 3855338.0, 3857513.0, 3857273.0, 3858799.0, 3860923.0, 3857477.0",3866015.9,15408.472665712197,4,0,2,,,,splines,mountain
,,,"2541173.0, 2540754.0, 2544920.0, 2540724.0, 2538711.0, 2541656.0, 2540317.0, 2532442.0, 2572721.0, 2566338.0",2545975.6,12229.386175928863,8,0,2,,,,splines,mountain
,,,"8346099.0, 8314045.0, 8323130.0, 8309793.0, 8309656.0, 8310928.0, 8312693.0, 8342444.0, 8363659.0, 8363650.0",8329609.7,21130.527490103035,8,0,8,,,,splines,nic-cage
,,,"1590250.0, 1595171.0, 1626947.0, 1571732.0, 1569656.0, 1569764.0, 1570308.0, 1570284.0, 1569885.0, 1568967.0",1580296.4,17974.63131861124,12,0,1,,,,splines,pattern1
,,,"1623178.0, 1641346.0, 1616222.0, 1633650.0, 1654279.0, 1659685.0, 1624558.0, 1589972.0, 1620913.0, 1584544.0",1624834.7,23158.08856987122,16,0,1,,,,splines,pattern1
,,,"2862095.0, 2863155.0, 2859927.0, 2859086.0, 2861086.0, 2859948.0, 2861124.0, 2861091.0, 2880415.0, 2864052.0",2863197.9,5913.922699021353,4,0,1,,,,splines,pattern1
,,,"1812613.0, 1813269.0, 1816372.0, 1812680.0, 1812430.0, 1813841.0, 1813814.0, 1814040.0, 1816378.0, 1819729.0",1814516.6,2194.5582790165317,8,0,1,,,,splines,pattern1
,,,"2266800.0, 2260361.0, 2266644.0, 2267869.0, 2266604.0, 2264997.0, 2266443.0, 2267315.0, 2266848.0, 2261720.0",2265560.1,2382.11882365259,12,0,2,,,,splines,pattern1
,,,"2297759.0, 2391645.0, 2314638.0, 2379641.0, 2363792.0, 2342453.0, 2354204.0, 2358980.0, 2307583.0, 2429622.0",2354031.7,38619.0331884422,16,0,2,,,,splines,pattern1
,,,"3871999.0, 3862162.0, 3863070.0, 3871442.0, 3862225.0, 3859953.0, 3862280.0, 3865620.0, 3875183.0, 3868640.0",3866257.4,4943.2042684882035,4,0,2,,,,splines,pattern1
,,,"8327512.0, 8333484.0, 8333875.0, 8324619.0, 8324997.0, 8325917.0, 8359765.0, 8343864.0, 8373751.0, 8340996.0",8338878.0,15585.374496623428,8,0,8,,,,splines,pattern1
,,,"1574194.0, 1574475.0, 1573269.0, 1573487.0, 1573445.0, 1572860.0, 1572823.0, 1573021.0, 1574376.0, 1576103.0",1573805.3,959.0146036427183,12,0,1,,,,splines,pattern2
,,,"1611305.0, 1601022.0, 1584890.0, 1578543.0, 1588013.0, 1600537.0, 1637457.0, 1627440.0, 1605954.0, 1600911.0",1603607.2,17388.733604262274,16,0,1,,,,splines,pattern2
,,,"2864527.0, 2860134.0, 2860738.0, 2862331.0, 2861781.0, 2861649.0, 2861405.0, 2861817.0, 2865202.0, 2864358.0",2862394.2,1624.4259786152154,4,0,1,,,,splines,pattern2
,,,"1919257.0, 1911456.0, 1889774.0, 1910761.0, 1879285.0, 1854890.0, 1845533.0, 1882538.0, 1877491.0, 1853882.0",1882486.7,24544.672081940713,8,0,1,,,,splines,pattern2
,,,"2251841.0, 2257879.0, 2252364.0, 2253732.0, 2253562.0, 2256152.0, 2263550.0, 2253288.0, 2269955.0, 2249864.0",2256218.7,5843.208520153974,12,0,2,,,,splines,pattern2
,,,"2275254.0, 2293289.0, 2266771.0, 2286848.0, 2284190.0, 2250080.0, 2292409.0, 2367943.0, 2362053.0, 2310216.0",2298905.3,36460.03071323446,16,0,2,,,,splines,pattern2
