Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"1939868.0, 1939076.0, 1945366.0, 1938793.0, 1939289.0, 1940198.0, 1939425.0, 1938956.0, 1939991.0, 1940334.0",1940129.6,1817.442334711063,12,0,1,,,,splines,mountain
,,,"1844831.0, 1864404.0, 1848317.0, 1844545.0, 1844136.0, 1843926.0, 1843849.0, 1845034.0, 1840916.0, 1845678.0",1846563.6,6194.106153433278,16,0,1,,,,splines,mountain
,,,"3836519.0, 3827259.0, 3830966.0, 3835372.0, 3833187.0, 3833732.0, 3821974.0, 3822980.0, 3825743.0, 3835698.0",3830343.0,5167.171508668935,4,0,1,,,,splines,mountain
,,,"2311201.0, 2310899.0, 2310468.0, 2310977.0, 2310045.0, 2311866.0, 2314960.0, 2311552.0, 2311421.0, 2318136.0",2312152.5,2362.1942024312903,8,0,1,,,,splines,mountain
,,,"2765337.0, 2766335.0, 2764814.0, 2767296.0, 2765853.0, 2764745.0, 2765077.0, 2764378.0, 2764733.0, 2764859.0",2765342.7,854.6455464109083,12,0,2,,,,splines,mountain
,,,"2642099.0, 2672728.0, 2643092.0, 2646386.0, 2641155.0, 2641377.0, 2640574.0, 2640758.0, 2647133.0, 2643959.0",2645926.1,9194.401540611547,16,0,2,,,,splines,mountain
,,,"5238027.0, 5262691.0, 5272013.0, 5268951.0, 5239545.0, 5234883.0, 5229699.0, 5226767.0, 5231975.0, 5246249.0",5245080.0,15920.951636130298,4,0,2,,,,splines,mountain
,,,"1954913.0, 1956273.0, 1954594.0, 1954265.0, 1956091.0, 1954265.0, 1954767.0, 1954586.0, 1954270.0, 1966109.0",1956013.3,3434.594038601942,12,0,1,,,,splines,pattern1
,,,"1847210.0, 1865112.0, 1846917.0, 1845386.0, 1845050.0, 1845441.0, 1844746.0, 1846254.0, 1850491.0, 1847951.0",1848455.8,5783.32506089706,16,0,1,,,,splines,pattern1
,,,"3905785.0, 3902110.0, 3894451.0, 3900160.0, 3901449.0, 3896896.0, 3895787.0, 3897883.0, 3900194.0, 3900277.0",3899499.2,3167.1305561975178,4,0,1,,,,splines,pattern1
,,,"2309246.0, 2314384.0, 2320261.0, 2324649.0, 2318508.0, 2318476.0, 2318500.0, 2317086.0, 2317144.0, 2316507.0",2317476.1,3752.551170870292,8,0,1,,,,splines,pattern1
,,,"2800856.0, 2804724.0, 2801216.0, 2802347.0, 2801937.0, 2804125.0, 2801864.0, 2810837.0, 2802315.0, 2797418.0",2802763.9,3276.479099582355,12,0,2,,,,splines,pattern1
,,,"2649211.0, 2677191.0, 2647084.0, 2648318.0, 2648457.0, 2647677.0, 2650147.0, 2647003.0, 2642934.0, 2649508.0",2650753.0,9014.356926592156,16,0,2,,,,splines,pattern1
,,,"4935197.0, 4932163.0, 4932877.0, 4937489.0, 4931539.0, 4931270.0, 4930940.0, 4934259.0, 4929873.0, 4926257.0",4932186.4,2920.2133209750277,4,0,2,,,,splines,pattern1
,,,"1959901.0, 1959227.0, 1959499.0, 1960296.0, 1959459.0, 1959239.0, 1959137.0, 1960649.0, 1959740.0, 1971316.0",1960846.3,3520.524649821387,12,0,1,,,,splines,pattern2
,,,"1860009.0, 1880879.0, 1858994.0, 1858903.0, 1860507.0, 1859251.0, 1858982.0, 1858105.0, 1857751.0, 1858022.0",1861140.3,6629.94125237924,16,0,1,,,,splines,pattern2
,,,"3813798.0, 3807151.0, 3809408.0, 3817102.0, 3807172.0, 3807034.0, 3805045.0, 3803176.0, 3803937.0, 3811511.0",3808533.4,4228.216508174575,4,0,1,,,,splines,pattern2
,,,"2321705.0, 2317776.0, 2330169.0, 2315140.0, 2311636.0, 2320169.0, 2322528.0, 2322243.0, 2318263.0, 2321359.0",2320098.8,4701.645324777274,8,0,1,,,,splines,pattern2
,,,"2769557.0, 2764352.0, 2766430.0, 2765512.0, 2769005.0, 2767882.0, 2767687.0, 2767310.0, 2769391.0, 2778622.0",2768574.8,3707.3309752435107,12,0,2,,,,splines,pattern2
,,,"2662809.0, 2696414.0, 2659646.0, 2659319.0, 2659996.0, 2659432.0, 2660053.0, 2660512.0, 2655830.0, 2660862.0",2663487.3,11097.593784690445,16,0,2,,,,splines,pattern2
,,,"5226990.0, 5251310.0, 5254325.0, 5260477.0, 5228220.0, 5220275.0, 5216866.0, 5215873.0, 5215340.0, 5218270.0",5230794.6,16732.429806815268,4,0,2,,,,splines,pattern2
,,,"1969071.0, 1968150.0, 1968588.0, 1968610.0, 1968594.0, 1969031.0, 1969105.0, 1968124.0, 1969465.0, 1972403.0",1969114.1,1168.7612630473343,12,0,1,,,,splines,nic-cage
,,,"1844721.0, 1878547.0, 1844473.0, 1843000.0, 1845083.0, 1850381.0, 1843612.0, 1846355.0, 1843076.0, 1847846.0",1848709.4,10181.779836551172,16,0,1,,,,splines,nic-cage
,,,"3757860.0, 3770808.0, 3772597.0, 3760503.0, 3767926.0, 3769290.0, 3772262.0, 3783226.0, 3766959.0, 3774260.0",3769569.1,6748.019790279219,4,0,1,,,,splines,nic-cage
,,,"2322882.0, 2323596.0, 2323025.0, 2324855.0, 2322889.0, 2323703.0, 2321698.0, 2323056.0, 2323706.0, 2324403.0",2323381.3,838.3679442822227,8,0,1,,,,splines,nic-cage
,,,"2774830.0, 2773160.0, 2771714.0, 2771007.0, 2774688.0, 2768650.0, 2774222.0, 2775225.0, 2774627.0, 2785538.0",2774366.1,4223.770577339636,12,0,2,,,,splines,nic-cage
,,,"2641731.0, 2674303.0, 2641329.0, 2642278.0, 2643070.0, 2642559.0, 2641533.0, 2641968.0, 2640541.0, 2641931.0",2645124.3,9748.236384597987,16,0,2,,,,splines,nic-cage
,,,"4921477.0, 4922890.0, 4913457.0, 4915235.0, 4908713.0, 4917540.0, 4921260.0, 4917667.0, 4913811.0, 4922731.0",4917478.1,4457.470660587684,4,0,2,,,,splines,nic-cage
,,,"3261670.0, 3260408.0, 3262628.0, 3262708.0, 3262991.0, 3264301.0, 3264334.0, 3284925.0, 3274325.0, 3270115.0",3266840.5,7240.672085518028,8,0,2,,,,splines,mountain
,,,"5269069.0, 5266831.0, 5267851.0, 5269971.0, 5258701.0, 5257741.0, 5270273.0, 5251502.0, 5253232.0, 5259279.0",5262445.0,6790.1015750870765,8,0,4,,,,splines,mountain
,,,"3260834.0, 3252748.0, 3260231.0, 3260994.0, 3260761.0, 3256227.0, 3260346.0, 3282003.0, 3264111.0, 3270409.0",3262866.4,7723.211407180305,8,0,2,,,,splines,nic-cage
,,,"5244513.0, 5238827.0, 5244535.0, 5240748.0, 5241825.0, 5242559.0, 5242688.0, 5243995.0, 5229123.0, 5231410.0",5240022.3,5177.11848521936,8,0,4,,,,splines,nic-cage
,,,"3312304.0, 3311077.0, 3308469.0, 3311693.0, 3308385.0, 3312597.0, 3310389.0, 3329682.0, 3318915.0, 3320604.0",3314411.5,6370.811192462072,8,0,2,,,,splines,pattern1
,,,"5267875.0, 5266166.0, 5268964.0, 5266911.0, 5267280.0, 5267108.0, 5266281.0, 5242087.0, 5249905.0, 5251721.0",5261429.8,9176.091638600827,8,0,4,,,,splines,pattern1
,,,"3281441.0, 3279544.0, 3280941.0, 3283799.0, 3281360.0, 3282619.0, 3282176.0, 3278808.0, 3262683.0, 3263132.0",3277650.3,7494.4240078874645,8,0,2,,,,splines,pattern2
,,,"3675440.0, 3676141.0, 3680174.0, 3676625.0, 3675356.0, 3675933.0, 3677763.0, 3675534.0, 3675609.0, 3677424.0",3676599.9,1430.8315379526691,12,0,3,,,,splines,mountain
