Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"13831.0, 18335.0, 25055.0, 17784.0, 25749.0, 24965.0, 33698.0, 23187.0, 25312.0, 23371.0",23128.7,5181.50763871,4,7473.87966493,9,,,,splines,geometrica_2
,,,"16367.0, 28970.0, 15171.0, 15411.0, 13511.0, 18028.0, 15268.0, 13797.0, 23204.0, 24959.0",18468.6,5062.68828193,8,695.193039844,7,,,,splines,paisaje_2
,,,"36157.0, 34358.0, 43559.0, 42971.0, 41448.0, 41427.0, 34352.0, 38507.0, 49197.0, 49187.0",41116.3,5127.18872385,4,886.843141523,3,,,,splines,geometrica_1
,,,"32100.0, 32785.0, 37912.0, 62072.0, 113533.0, 56511.0, 28697.0, 41255.0, 55560.0, 45492.0",50591.7,23591.2733274,41,880.327877314,9,,,,splines,paisaje_2
,,,"56908.0, 58637.0, 57709.0, 65015.0, 56526.0, 57416.0, 58424.0, 58853.0, 57900.0, 110915.0",63830.3,15856.8518316,101,38.1827103065,3,,,,splines,rostro_2
,,,"20919.0, 23518.0, 22049.0, 22650.0, 24805.0, 32798.0, 21488.0, 29378.0, 24159.0, 24031.0",24579.5,3539.88251924,8,307.87515003,3,,,,splines,paisaje_2
,,,"50886.0, 55372.0, 51871.0, 118033.0, 52273.0, 89123.0, 76421.0, 65442.0, 86163.0, 61534.0",70711.8,20700.1026703,81,394.133979266,4,,,,splines,paisaje_2
,,,"21356.0, 24939.0, 22041.0, 24663.0, 28696.0, 24272.0, 24776.0, 27467.0, 34512.0, 38097.0",27081.9,5110.23334986,8,16.5666320483,3,,,,splines,rostro_1
,,,"10143.0, 10511.0, 10139.0, 11672.0, 13842.0, 13768.0, 17889.0, 10847.0, 10629.0, 11458.0",12089.8,2320.72742044,8,56.7469854043,9,,,,splines,rostro_1
,,,"108132.0, 90034.0, 76789.0, 126117.0, 63455.0, 45282.0, 46245.0, 46369.0, 48227.0, 67465.0",71811.5,26971.900112,8,584.383399357,1,,,,splines,geometrica_2
